 ian;mo;jo;jul;pla;      lai(n);    masec(n);     mafruit;       HR(1);       HR(2);       HR(3);       HR(4);       HR(5);      resmes;       drain;        esol;          et;        zrac;       tcult;    AZnit(1);    AZnit(2);    AZnit(3);    AZnit(4);    AZnit(5);        Qles;    QNplante;      azomes; chargefruit;    AZamm(1);    AZamm(2);    AZamm(3);    AZamm(4);    AZamm(5);     CNgrain;  concNO3les;        drat;       fapar;     hauteur;        Hmax;    humidite;    LRACH(1);    LRACH(2);    LRACH(3);    LRACH(4);    LRACH(5);     mafrais;pdsfruitfrais;      Qdrain;        rnet;     QNgrain;     psibase;      mabois;      H2Orec;mafeuiljaune;mafeuilverte;humirac_mean;     tempeff;   deltai(n);     ulai(n);    tustress;   efdensite;     densite;      exolai;   dltams(n);    remobilj;      exofac;     exobiom;         inn;      innlai;        inns;      turfac;       swfac;       Qminh;       Qminr
2022;8;1;213;vig;0.0;0.0;0.0;21.74024;23.08927;23.75018;0.0;0.0;211.55928;0.0;9.07367;9.07367;182.0;23.3;0.44312;1.06731;0.0;0.0;0.0;0.0;0.092;1.51043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.78176;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;16.04029;0.0;0.0;0.0;0.0;0.0;0.0;0.99454;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;1.51043;0.0
2022;8;2;214;vig;0.0;0.0;0.0;20.61357;22.88276;23.75017;0.0;0.0;208.52724;0.0;3.03204;3.03204;182.0;24.8459;0.7974;2.13395;0.0;0.0;0.0;0.0;0.092;2.93135;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.69221;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;12.98977;0.0;0.0;0.0;0.0;0.0;0.0;0.98361;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;2.93135;0.0
2022;8;3;215;vig;0.0;0.0;0.0;19.50096;22.88276;23.75017;0.0;0.0;206.77966;0.0;1.74757;1.74757;182.0;28.32619;1.18829;3.23223;0.0;0.0;0.0;0.0;0.092;4.42052;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.61948;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;12.49194;0.0;0.0;0.0;0.0;0.0;0.0;0.98361;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;4.42052;0.0
2022;8;4;216;vig;0.0;0.0;0.0;18.42231;22.88276;23.75017;0.0;0.0;205.08545;0.0;1.69423;1.69423;182.0;25.35255;1.63654;4.42263;0.0;0.0;0.0;0.0;0.092;6.05917;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.63968;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;11.53325;0.0;0.0;0.0;0.0;0.0;0.0;0.97814;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;6.05917;0.0
2022;8;5;217;vig;0.0;0.0;0.0;17.43544;22.88276;23.75017;0.0;0.0;203.53535;0.0;1.55009;1.55009;182.0;22.53316;1.99755;5.59437;0.0;0.0;0.0;0.0;0.092;7.59192;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.76373;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;12.48081;0.0;0.0;0.0;0.0;0.0;0.0;0.97814;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;7.59192;0.0
2022;8;6;218;vig;0.0;0.0;0.0;17.41773;22.73002;23.75017;0.0;0.0;202.57397;0.0;4.16139;4.16139;182.0;20.5;2.34806;6.71779;0.0;0.0;0.0;0.0;0.092;9.06584;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.67284;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;10.78419;0.0;0.0;0.0;0.0;0.0;0.0;0.97814;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;9.00184;0.0
2022;8;7;219;vig;0.0;0.0;0.0;16.24306;22.70389;23.75017;0.0;0.0;200.56918;0.0;3.50478;3.50478;182.0;21.77772;2.63654;7.78334;0.0;0.0;0.0;0.0;0.092;10.41988;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.64036;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;12.13219;0.0;0.0;0.0;0.0;0.0;0.0;0.97814;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;10.32588;0.0
2022;8;8;220;vig;0.0;0.0;0.0;15.68835;22.70389;23.75017;0.0;0.0;199.69789;0.0;0.87129;0.87129;182.0;24.54698;2.88818;8.84165;0.0;0.0;0.0;0.0;0.092;11.72983;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.54994;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;10.55037;0.0;0.0;0.0;0.0;0.0;0.0;0.97268;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;11.63583;0.0
2022;8;9;221;vig;0.0;0.0;0.0;13.60236;22.70389;23.75017;0.0;0.0;196.42143;0.0;3.47647;3.47647;182.0;23.5;3.17485;9.93934;0.0;0.0;0.0;0.0;0.092;13.11419;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.64652;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;10.23875;0.0;0.0;0.0;0.0;0.0;0.0;0.97268;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;13.01619;0.0
2022;8;10;222;vig;0.0;0.0;0.0;13.06909;22.70389;23.75017;0.0;0.0;195.58383;0.0;0.8376;0.8376;182.0;25.224;3.39877;11.02532;0.0;0.0;0.0;0.0;0.092;14.42408;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.69825;0.00264;0.04;0.00194;0.0;0.0;0.0;0.0;0.0;9.94442;0.0;0.0;0.0;0.0;0.0;0.0;0.96721;0.0;0.0;0.0;1.0;0.0;0.44;1.0;0.0;0.0;0.0;1.0;0.00158;1.0;1.0;1.0;1.0;14.32608;0.0
